load,value,error
700,0.4517048818676634,0.002154685537978724
725,0.4569326497900087,0.0019598144356395247
750,0.46031300277996046,0.0018424952062771258
775,0.46746309061328073,0.0020258419086306113
800,0.47126810154108856,0.001965759344746375
825,0.47596250327942596,0.0021107059389435874
850,0.48150573891087733,0.0016599921910156858
875,0.48635584157194656,0.0017268705526299914
900,0.48983216049961936,0.0006650384853182353
925,0.49477026132669605,0.002010884972710374
950,0.4973198650931847,0.00149143394652599
975,0.5014107415637274,0.00242633544179016
1000,0.5052238959401573,0.0014025645928278216
1025,0.5099781097332483,0.002384546710071986
1050,0.5108048094137184,0.0020863978594532605
1075,0.5163451111439199,0.0017593850060643884
1100,0.5204012937571838,0.002038437966381482
1125,0.5232973795037358,0.0019862010742609827
1150,0.525835847353567,0.001556204157063466
1175,0.5301262968512603,0.0020883000834666515
1200,0.5324444227279581,0.0018095639058440258
