load,value,error
700,-15.040745901888554,0.19618984012595972
725,-14.323801785755204,0.13788421419901772
750,-13.504636651028806,0.1777393472350785
775,-13.481325978707147,0.12686338087373075
800,-11.462997640220856,0.7160857725575698
825,-13.31310816108061,0.22142441381171327
850,-12.253310669650954,0.1561576812399001
875,-12.50449013178805,0.209367147777018
900,-12.373093941835409,0.2876459471466095
925,-12.033086725092232,0.09147205509002058
950,-11.850097101975132,0.2571721254108433
975,-11.545208824153853,0.24132799088478052
1000,-10.878557169304939,0.15359019981530744
1025,-11.24562418456385,0.17830534359639616
1050,-10.629041537705188,0.1297878205676689
1075,-11.335778888305942,0.2931470520262282
1100,-10.73127295002719,0.10113109151862087
1125,-10.602039881446272,0.10456700526431627
1150,-10.55271311655636,0.09081778831351368
1175,-10.513484016425181,0.08270779010230853
1200,-10.467201464234055,0.13952034882438022
1225,-10.400111059765207,0.20667165599243278
1250,-10.411299005011687,0.14794520826785948
1275,-10.269593991334546,0.08706299228556234
1300,-10.113960257068308,0.1296923871621381
1325,-10.301651511453318,0.099898964170316
1350,-9.975270291841756,0.15574182241231915
1375,-9.975528238955597,0.22266226973479272
1400,-10.021393003436788,0.06837014277530398
1425,-9.759560618328386,0.21729656103420167
1450,-9.789643028325713,0.03677850471373018
1475,-9.84391248208859,0.207921738166505
1500,-9.689585083080987,0.10309818074376098
1525,-9.506079566082423,0.11968502616460097
1550,-9.614623680272064,0.06462850420452776
1575,-9.800529803982872,0.11154603813802874
1600,-9.451975310983695,0.14954853262862514
