load,value,error
700,0.0025336236703014043,0.003250992311693081
725,0.0025336236703014043,0.003250992311693081
750,0.0025336236703014043,0.003250992311693081
775,0.0037820007800587196,0.0036172166536147066
800,0.0025336236703014043,0.003250992311693081
825,0.005026849633658955,0.005275748977630756
850,0.00755098667596781,0.00493907444940656
875,0.007526651570443845,0.007163842929970403
900,0.018830649512656304,0.016861203061619
925,0.03637707108770478,0.018683574188506705
950,0.06487540079345375,0.0329442188568841
975,0.09603283251594336,0.05447260785532977
1000,0.15854763573274044,0.05087342985533099
1025,0.21707102939099482,0.08576311161683302
1050,0.2811302054582684,0.06633475295820149
1075,0.36224740156818397,0.10717038183642727
1100,0.4670909920495194,0.14220774564469077
1125,0.5896683266804257,0.13423280260769366
1150,0.685894639362568,0.16105154129127094
1175,0.8380637145995735,0.16880466129181185
1200,0.9345610920352465,0.1425576844391596
1225,1.0892137665146633,0.16469220605907328
1250,1.25070336488901,0.15686671038152106
1275,1.396201028302761,0.21341457148918955
1300,1.611272919274469,0.2025681506967887
1325,1.6718231565207329,0.1775016525756086
1350,1.9293788120170081,0.234861822225164
1375,2.096642828583856,0.2217161976174964
1400,2.224437371617979,0.23055316471851955
1425,2.4142064286463123,0.21223478239336235
1450,2.5805132066295178,0.2247775325912942
1475,2.7542209622535356,0.23436597067754972
1500,2.928884057912553,0.2615877311207181
1525,3.18099397161005,0.26227779545015084
1550,3.2818772269652707,0.2671868587549955
1575,3.5402506958215834,0.2843360899626087
1600,3.595740211263297,0.27730472373769316
