load,value,error
700,-14.698421382103476,0.17647332250243503
725,-14.003049209818954,0.28013062086319324
750,-13.810508984781055,0.20432337519603272
775,-13.675881868356862,0.07200659889792028
800,-13.490929632107552,0.054316468366732346
825,-12.849172788853219,0.2841748760431257
850,-12.931940590956469,0.09027855475998044
875,-13.049628911606092,0.1667530410075464
900,-12.784340002837013,0.24738585027563015
925,-12.521016360545056,0.10042097311504379
950,-12.61747587706507,0.21149395609784818
975,-12.234678800876818,0.1416647412031141
1000,-11.991354490831656,0.1183888841548317
1025,-12.095145866219392,0.3315573977125469
1050,-11.714355296406145,0.1460487713854936
1075,-11.271089615567716,0.13147674750382027
1100,-11.623397459244885,0.11810709277945841
1125,-11.489927945162306,0.048109992181300784
1150,-11.139045245223771,0.046918590560727905
1175,-11.068953410406337,0.07392753956164715
1200,-11.005182889898236,0.08469999395576659
1225,-10.88236661957013,0.07692928019232172
1250,-11.051868999972921,0.16822310468195467
1275,-10.750994716080962,0.12305233309478282
1300,-10.791361420319243,0.19284923555243394
1325,-11.116453174710516,0.07269378692178881
1350,-10.691100186438941,0.10293363579639153
1375,-10.7062705753353,0.031607326490699715
1400,-10.424085017195852,0.21075006047322792
1425,-10.461975940669726,0.0931321551849536
1450,-10.463163863192017,0.11143515165072333
1475,-10.420447821255369,0.14414096798047724
1500,-10.344388945376705,0.03382932247031269
1525,-10.277696303401484,0.11287352189925065
1550,-10.068397626685499,0.20790608125667412
1575,-10.050808024026502,0.08960096481987036
1600,-9.84570449083985,0.0998247703196504
