load,value,error
700,-19.150109416153015,0.2864881725286875
725,-18.73133765597893,0.12648847372793343
750,-18.78937693647641,0.0579393444897814
775,-18.131070567940547,0.05381118898183735
800,-17.989750218128066,0.17618430569793953
825,-16.93584586967033,0.22276678630871452
850,-16.51206958260886,0.2324427970118292
875,-16.257544232156786,0.12155175701209722
900,-15.805179676856064,0.08210652595673137
925,-15.34680174670956,0.1584130411244849
950,-14.971221666087374,0.06376439371413113
975,-14.62628359372703,0.034585598282766035
1000,-14.056691438500629,0.16380608576049122
1025,-13.959448093079907,0.11441877844314724
1050,-13.804812634328593,0.06930750179627958
1075,-13.47677064504837,0.14408815000872024
1100,-13.346589098459756,0.09380868066977908
1125,-12.797537478349563,0.07023265432411344
1150,-12.748945457974552,0.1186998827642533
1175,-12.716870269721806,0.12887854335603932
1200,-12.350655095380231,0.07768338197996139
1225,-12.420434830640021,0.1266562790885163
1250,-12.075350816769117,0.05165958259233491
1275,-11.97711832109621,0.13739438068892848
1300,-11.98664458048475,0.054265023596614684
1325,-11.84715671702781,0.1546311208338478
1350,-11.873655013723358,0.06204109162573557
1375,-11.696125644577378,0.14307251441349841
1400,-11.813903326647008,0.07652581728359918
1425,-11.442046015375197,0.09042177602617657
1450,-11.492923760091571,0.06883995199011173
1475,-11.092638587954971,0.09625505059121332
1500,-11.148745910698029,0.13602581906333047
1525,-11.200201355337727,0.040841171735259064
1550,-10.807108214182499,0.1495366859839074
1575,-11.0472560755084,0.127794497600254
1600,-10.877237793320003,0.19007033777842242
