load,value,error
600,0.8428691625096921,0.09915747496280332
625,0.892968515900537,0.07887296588504626
650,0.9026846989923123,0.13160606310585382
675,0.9091843763931694,0.11556045197234528
700,0.9369231509765088,0.10502134817740608
725,0.913699985476054,0.1212880199189959
750,0.9120561976718148,0.10486574881029026
775,0.9871997328648359,0.12529783090006597
800,1.0057371910197868,0.09830583185954733
825,1.0109685742706007,0.06843184884212887
850,1.0391810117394986,0.1432807199511002
875,1.0767902173234398,0.1326417645333174
900,1.0848627480099808,0.12384239478515927
925,1.107488311434932,0.07880894432801762
950,1.0747958536909772,0.06855561372847511
975,1.1548325262990866,0.08244268018797314
1000,1.1838868435002317,0.09269029016681136
