load,value,error
700,0.4847099228861565,0.002255166792676704
725,0.48932804733441415,0.00170446302451968
750,0.4951828867897685,0.00209259363868216
775,0.4991300123972745,0.001517284682558428
800,0.5035383221317928,0.0022969977657936328
825,0.507870698158625,0.0009430624934273101
850,0.5111936151819044,0.002288595560345269
875,0.5167127558301224,0.0027193719934392314
900,0.5187424941190307,0.0019398408571878328
925,0.5229528736793895,0.0027054507666034646
950,0.527448966465011,0.00239232780363682
975,0.5307488751255777,0.002050164402706791
1000,0.5315782994659806,0.002088921181898251
1025,0.5362675492951076,0.002334535214684142
1050,0.5380153022546958,0.0024064947751913303
1075,0.5411592076767411,0.0018369378238123027
1100,0.5446857267659256,0.0022672273826085556
1125,0.5476684705180507,0.0027797360421088152
1150,0.5493859043171047,0.001699812235580644
1175,0.5531217668979128,0.0017886337602933571
1200,0.5535080132429525,0.002041320641288516
1225,0.5564873863850096,0.002284078945592841
1250,0.5596601013790964,0.0030467326771427133
1275,0.5615458687740479,0.0025541530341594257
1300,0.5652436408458991,0.0025852748586234616
1325,0.568836230220499,0.0021802317137122875
1350,0.5703552249947005,0.002393327340553022
1375,0.5716492668702138,0.0014239850530771887
1400,0.5741277290995832,0.0033254982732511445
1425,0.577234950863872,0.0028576988732655333
1450,0.5789478211156117,0.0016752352751023352
1475,0.5814393896060814,0.0029294339967450888
1500,0.5843135191852111,0.00227547096793776
1525,0.5849574435557524,0.0024246412030066544
1550,0.5867192117030342,0.00245168907665192
1575,0.5890017247568975,0.002105290323620373
1600,0.5903945215295473,0.002938858317841184
