load,value,error
600,0.34908184172110257,0.002150931255077545
625,0.35342727213636255,0.0028512108386114475
650,0.3591800383865018,0.0014285280434650218
675,0.36446842221443215,0.0031832590364357107
700,0.3693335438380325,0.0017472785557898548
725,0.37312728542639073,0.001814609459086694
750,0.3770106014668333,0.0021062957379330586
775,0.3814900876737443,0.0033927555012911483
800,0.3858517615950759,0.0024072846429602493
825,0.38877587488266574,0.003026433746660304
850,0.3930127843329549,0.0016538639597712787
875,0.3970023424950732,0.003212554324103586
900,0.40186093510281756,0.0014797958891680325
925,0.4047107067675723,0.001967827111369833
950,0.4083238169542165,0.0021850213175404346
975,0.4115092584238042,0.0029879989875811557
1000,0.414225468445055,0.002004949006036373
