load,value,error
700,0.6050863217456197,0.004845020376676825
725,0.6136941113670631,0.003176525554651943
750,0.6252469421405523,0.005914479219772925
775,0.6359262368148745,0.003685538415428873
800,0.6458202667727961,0.005284127390579222
825,0.6509245300377267,0.0041965856537494635
850,0.6611656466179928,0.005326417678768848
875,0.6697882628673726,0.003727212583665636
900,0.6789637019230378,0.005089179770102992
925,0.6862803575384684,0.0042787531560342295
950,0.6913125590948308,0.0041068804894296975
975,0.6973578086773972,0.004196499071223814
1000,0.7039266260762039,0.00476453039780438
1025,0.7109751325231796,0.003910869635263245
1050,0.7158884928118683,0.005807275172447414
1075,0.721304818543355,0.004956430521490768
1100,0.7286607475823942,0.00400151189940023
1125,0.7325056144320652,0.007003179682183783
1150,0.7393463154988339,0.003951886844527769
1175,0.7431201117298579,0.004603052044505429
1200,0.7444996553841896,0.0036750194979915858
