load,value,error
600,0.42528668589467905,0.002426392628748116
625,0.43527931283622623,0.006045247412885865
650,0.4446693259898442,0.004089931763225627
675,0.4518717894721565,0.00585380470877727
700,0.4638263701460253,0.004176973316083767
725,0.47464665859519733,0.006590668245683371
750,0.4850265181733871,0.003675657384515367
775,0.49589181010623307,0.004337855182101562
800,0.5047924754866621,0.004375941340500779
825,0.5090767876710763,0.006234757561798008
850,0.5236151240002763,0.005860524498763812
875,0.526581975561912,0.006788717475655073
900,0.5376993606722278,0.005414774780977829
925,0.5460085688680761,0.005251094857741476
950,0.5536311272731347,0.00420477798774455
975,0.5578823690069753,0.006061647120626855
1000,0.567742502473708,0.0020715784247825096
