load,value,error
700,0.006,0.00784
725,0.006,0.00784
750,0.026000000000000002,0.018176292251171577
775,0.022,0.020927073373981368
800,0.034,0.011759999999999998
825,0.042,0.014402999687565088
850,0.086,0.03850789010060146
875,0.13999999999999999,0.05977196667334946
900,0.16,0.033377597277215745
925,0.242,0.0461329210000841
950,0.306,0.049816398906384216
975,0.39799999999999996,0.08439387655511504
1000,0.496,0.10400935342554535
1025,0.632,0.10937432239790103
1050,0.768,0.07050553453453139
1075,0.882,0.0861954430350004
1100,1.032,0.10937432239790107
1125,1.2420000000000004,0.13328
1150,1.294,0.09452809952601396
1175,1.486,0.2622008268484293
1200,1.718,0.13933932108346153
1225,1.886,0.10870492905107845
1250,2.06,0.14496051876286858
1275,2.202,0.18742355881798867
1300,2.4880000000000004,0.12008899366719678
1325,2.576,0.11132385907791736
1350,2.7039999999999997,0.20636854799120918
1375,2.934,0.21592048906947192
1400,3.0480000000000005,0.26654558784568166
1425,3.3480000000000003,0.11880251849182327
1450,3.6040000000000005,0.1277162229319361
1475,3.7119999999999997,0.07265231173197437
1500,3.938,0.1318309462910739
1525,4.081999999999999,0.15375697187444856
1550,4.337999999999999,0.07701578020120291
1575,4.526000000000001,0.12202475814358323
1600,4.718,0.19837678896483843
