load,value,error
700,-14.587431844848757,0.1287393451848087
725,-14.498085840858694,0.09910315536536364
750,-14.076509510190789,0.13646565303355632
775,-13.5890067719577,0.061409319644055285
800,-13.325173073786459,0.12638854228890622
825,-12.94135864832992,0.13001711208892205
850,-12.788271155548337,0.13105580920316365
875,-12.654457807604429,0.1870895183374954
900,-12.715616628751583,0.13517283402186187
925,-12.524288903857649,0.06413759952418854
950,-12.43231046368293,0.07432203977796162
975,-12.01407318459774,0.20246145184168796
1000,-11.822536619874027,0.12840706845752156
1025,-11.943206488687881,0.06510869456648136
1050,-11.42845397751519,0.22708607822321297
1075,-11.715731143649556,0.09854384760237091
1100,-11.511592272651667,0.07615432517466802
1125,-11.231323044376332,0.1946989602057075
1150,-11.246421458200832,0.08270597657242594
1175,-11.150962260216811,0.11073006589367118
1200,-11.269214775528644,0.07142954037441977
1225,-11.136612970010876,0.05895678913806255
1250,-10.916622037925272,0.05826771387516949
1275,-10.503377118139618,0.09220181669818624
1300,-10.596712729097256,0.08796504310817689
1325,-11.021885077219691,0.14009584842178605
1350,-10.617620216132508,0.05436050134076621
1375,-10.327773599082388,0.09749386081484851
1400,-10.432263983738828,0.10176321259927523
1425,-10.096740078731516,0.10892996645716323
1450,-10.328601809535702,0.01774584440429724
1475,-10.469878386405876,0.1967901032980271
1500,-10.4413261648065,0.1279553044054455
1525,-10.136403542378163,0.06297077207080964
1550,-10.174930333841356,0.02646633656939406
1575,-10.11846938478082,0.0958132254586453
1600,-9.685409335390172,0.0777586877702302
