load,value,error
700,0.005180899749589846,0.010154563509196099
725,0.015226365297421671,0.029843675982946474
750,0.0170915576484962,0.02127212581567361
775,0.06610669345352957,0.042971288183091094
800,0.0710683241901426,0.045687484703424625
825,0.14442777608757953,0.06401964247947357
850,0.1797983470046139,0.1299411804375291
875,0.17038401699091948,0.06191624319580366
900,0.2425530259330105,0.1395667760181
925,0.435890624131828,0.12982868289099053
950,0.6867735455187665,0.26521001333398536
975,0.7542289290443692,0.2247482618999125
1000,0.8052184173502169,0.056308185108040434
1025,1.30817927915985,0.27829499609426933
1050,1.5811853379995398,0.24362457516769598
1075,1.8474427317192081,0.16091387205298938
1100,2.2543036888522203,0.26031424056165586
1125,2.72152614183715,0.3639843514691241
1150,2.8959790738127515,0.23561059818241886
1175,3.3401588785942935,0.19894870314162363
1200,3.6663212705427197,0.4068320532476377
1225,4.370690693047537,0.2683310165242385
1250,4.503624933676676,0.36997397479837546
1275,5.142464949843053,0.3139112853796211
1300,5.770692564343108,0.4265321263933052
1325,6.077910524567654,0.2926642589776098
1350,6.391450052338142,0.560818076369268
1375,6.8775079071721255,0.5047278358096667
1400,7.375841737899343,0.4624519580218865
1425,7.890878599508111,0.46401587306214404
1450,8.020130624694552,0.3926881368881057
1475,8.753254931867325,0.3319688451214932
1500,9.057661972684707,0.23962823011102644
1525,9.522129289565564,0.4461630320455253
1550,9.899547375066641,0.49909209674385696
1575,10.360240688151027,0.5634073416262493
1600,10.978146258955963,0.43803461623042206
