load,value,error
700,-14.49053385598306,0.11133917428976839
725,-14.099656902148572,0.15858194038620335
750,-14.030899066251104,0.10867878493711333
800,-13.46554600764581,0.21278781783535852
775,-13.747638860911824,0.07878103311230368
850,-13.119453124213457,0.23812669384857502
825,-12.898801819265856,0.10598349179929767
900,-12.84289744170087,0.14120498048419944
950,-12.629001197890716,0.10371110466357122
875,-13.170346537074757,0.21407335186469548
925,-12.278018271288364,0.1225590877178523
975,-12.298624873670818,0.11106359403595062
