load,value,error
700,0.5627255770346562,0.010625049419209278
725,0.570069137421812,0.009050397215397707
750,0.5850409637286526,0.009836806094528472
800,0.6103949018049859,0.004792592134398833
775,0.5903795477605772,0.006268012366054819
850,0.6234861734139324,0.007844141764789026
825,0.6266177326043116,0.002945383464735493
900,0.649429685880109,0.006234726301283533
950,0.6629094956019117,0.006448259336926175
875,0.6335272692388927,0.007293163031518848
925,0.6636892697033316,0.006699434059277958
975,0.6714363467941805,0.004308339360254174
