load,value,error
700,0.018818524231692814,0.02406499095522586
725,0.01872509710332295,0.023909986604041242
750,0.06144848613727054,0.04070503365970853
800,0.13076909927119273,0.06856395192790447
775,0.05781633097604755,0.044987782692382995
850,0.24880824899350115,0.10991578036459655
825,0.14924619119772073,0.06838670891485182
900,0.4231214483669167,0.10423149358136662
950,0.9181434717826047,0.1808412626793741
875,0.43124415269487704,0.1705419785206899
925,0.7148177860433552,0.13156505447885047
975,1.0838211411460215,0.176761444709747
