load,value,error
500,1.1684198033410929,0.0056395197294951335
550,1.2006363109586926,0.005843967636453618
600,1.2327708362669536,0.007221958675704896
650,1.258376060834444,0.004681378807997529
700,1.2737669068391473,0.007014979517502616
750,1.3046571056755416,0.007542593186068722
800,1.316960590818747,0.010608550717793144
850,1.33479110249502,0.010573634374167471
900,1.3532771497522498,0.009738796381651503
950,1.3728904264854243,0.01090179710448785
1000,1.386732569856761,0.012378549954172674

